Gender,Age,Qualification,Schooltype,Location,Experience,A1,A2,A3,A4,C1,C2,C3,C4,I1,I2,I3,I4,S1,S2,S3,S4,Ch1,Ch2,Ch3,Ch4,AT1,ATI2,ATI3,ATI4
1,30,1,1,1,5,3,4,4,5,4,5,5,5,4,4,4,1,5,4,4,4,5,3,4,4,5,5,4,5
1,30,2,2,2,5,4,5,3,4,4,2,4,4,4,3,4,2,5,4,3,4,4,5,5,5,4,4,5,5
2,20,4,3,3,5,4,3,5,4,4,4,5,4,4,3,4,3,4,5,4,5,4,5,5,4,5,5,4,5
1,30,3,3,3,5,3,4,2,5,5,3,4,3,3,3,4,2,4,4,3,5,5,5,4,4,4,4,3,5
1,20,1,1,1,5,3,3,3,3,2,2,2,3,2,2,2,1,4,5,4,5,4,4,4,5,5,5,4,5
2,30,2,2,2,5,4,3,4,3,5,4,5,4,4,4,4,2,5,5,3,4,4,4,5,5,4,5,5,4
1,20,3,2,3,5,4,5,5,5,4,4,4,4,4,3,4,3,5,4,5,4,4,4,3,4,4,4,3,3
1,20,2,2,2,5,4,5,2,4,2,3,2,3,2,4,5,2,4,4,4,5,5,5,5,4,5,4,3,4
1,20,2,2,2,5,3,2,4,5,4,5,4,4,4,5,4,3,5,5,5,5,5,4,4,4,3,5,4,4
1,20,3,3,3,5,4,5,2,4,4,4,4,4,5,5,5,2,5,4,3,5,4,5,5,5,4,5,5,5
2,20,1,1,1,5,4,5,4,4,4,4,5,5,5,4,5,3,4,5,5,5,4,5,4,4,5,5,4,4
1,30,2,2,2,5,5,5,4,5,5,5,4,5,4,4,5,2,4,4,5,5,5,4,4,4,4,4,5,5
2,20,3,3,3,15,3,3,4,3,4,3,4,3,3,4,4,1,4,4,4,4,4,4,5,5,4,4,4,4
2,30,1,1,1,5,4,4,5,5,5,5,5,4,4,4,4,2,5,4,5,4,4,5,4,4,5,5,4,5
2,30,1,1,1,5,4,4,4,5,5,4,4,4,4,2,3,3,5,5,4,5,5,3,5,5,4,4,4,5
1,20,2,2,2,5,5,4,5,4,5,4,4,4,5,4,4,2,4,5,4,5,3,4,4,4,5,4,5,4
1,20,3,3,3,15,2,1,2,1,2,2,1,2,2,2,2,3,4,5,3,5,5,5,4,5,5,5,5,3
1,40,3,3,3,10,3,3,4,4,3,3,4,3,4,2,3,2,3,4,5,4,4,4,5,5,5,4,5,5
1,30,1,1,1,5,3,2,3,2,3,2,3,2,4,3,3,3,4,4,4,5,5,5,4,4,4,4,3,4
1,30,2,2,2,10,4,5,4,4,3,4,4,4,2,2,1,2,5,5,5,5,4,4,5,4,5,5,5,5
1,30,3,3,3,5,3,2,5,4,3,4,3,4,4,5,4,1,4,5,4,4,5,5,5,5,4,4,4,4
2,20,4,2,2,10,5,5,5,5,5,5,5,5,5,5,5,1,4,4,5,5,5,4,5,4,5,4,5,5
2,30,2,2,2,5,4,4,5,4,4,3,3,4,4,4,4,4,5,5,5,5,5,3,5,4,5,5,5,5
2,20,3,3,3,10,4,5,4,4,4,5,5,5,5,4,5,2,5,4,3,5,5,4,4,5,4,5,5,5
2,30,1,1,1,5,4,4,5,4,4,4,5,4,3,4,4,3,4,4,4,5,5,4,5,4,3,4,5,5
1,30,2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,2,5,5,3,5,4,5,5,5,3,5,5,5
1,30,3,3,3,5,5,4,5,5,4,4,4,5,5,5,5,3,4,5,4,5,5,5,4,4,4,4,4,4
1,20,2,2,2,5,4,5,3,4,5,4,4,4,3,3,3,2,5,5,5,5,5,5,5,5,5,5,4,4
2,20,1,1,1,5,4,4,5,4,4,4,5,4,4,4,4,3,4,4,5,5,4,4,5,4,5,4,5,5
1,40,2,2,2,5,3,3,1,3,1,1,1,1,2,2,2,2,5,5,5,5,4,3,4,5,5,5,5,5
2,20,1,3,1,5,3,4,5,5,5,4,4,5,4,4,5,3,4,5,3,5,3,4,5,4,4,5,5,5
1,30,2,3,2,5,4,4,5,5,5,4,4,5,5,5,5,2,4,5,5,5,5,4,4,5,5,5,4,4
2,20,3,1,3,5,4,4,4,4,4,4,4,4,4,4,4,3,5,4,3,4,5,4,4,3,5,4,5,5
2,30,2,2,2,15,4,5,4,4,4,4,5,4,4,4,5,2,4,5,4,3,4,3,4,4,4,5,5,3
2,45,2,3,1,5,3,4,5,4,5,4,4,5,4,4,4,3,4,5,4,5,4,5,4,4,5,4,4,4
2,20,2,2,2,5,4,4,4,4,4,4,5,5,5,5,4,2,5,5,4,4,5,5,4,4,4,5,5,5
2,20,3,2,3,5,3,5,4,5,3,4,5,3,3,3,4,3,4,3,3,5,4,4,3,3,5,4,4,4
2,20,3,3,3,10,4,4,4,5,4,4,5,4,3,4,3,2,4,5,5,5,5,4,4,4,5,5,5,5
1,30,1,1,1,5,4,4,5,5,5,4,5,5,4,5,4,3,5,4,3,5,5,5,5,4,5,4,5,5
1,30,2,2,2,15,2,4,1,4,4,4,4,4,5,5,2,2,5,4,4,5,5,3,4,4,5,4,4,5
1,30,3,3,3,5,5,4,5,3,5,5,4,3,4,4,4,1,5,4,5,4,4,5,5,5,4,4,3,4
2,20,2,1,2,10,4,4,5,4,4,4,4,4,4,4,4,2,4,5,5,5,4,4,4,5,5,5,4,4
2,30,2,2,2,5,3,5,5,3,2,2,4,3,3,3,4,3,4,5,3,5,4,4,4,5,4,5,5,5
2,30,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,2,4,3,5,5,5,5,4,4,3,4,4,4
1,20,1,3,1,5,4,3,2,4,3,4,3,4,3,3,3,3,5,5,4,4,4,4,5,5,4,5,5,4
1,40,2,1,2,10,4,4,4,5,5,4,4,4,4,5,5,2,5,5,5,5,5,4,4,4,4,5,5,4
2,30,3,2,3,5,5,4,5,4,4,5,3,4,2,5,4,3,5,5,5,4,4,4,5,5,5,5,5,4
1,20,1,3,1,5,4,5,5,5,5,5,5,5,5,5,5,2,4,4,3,5,4,5,5,5,5,4,5,5
1,20,2,2,2,5,3,4,4,4,5,4,4,5,3,4,4,3,3,5,3,5,4,4,4,5,4,5,4,4
1,30,3,2,3,5,4,4,4,4,4,4,4,4,4,4,4,2,5,4,5,5,5,3,4,4,5,5,5,5
1,30,3,3,3,5,3,3,3,3,3,3,3,3,1,3,3,1,5,5,3,4,4,4,5,5,4,4,4,4
1,45,1,1,1,5,5,4,5,5,5,5,4,5,5,4,4,2,3,5,4,4,4,4,4,4,4,5,5,5
1,30,2,2,2,5,4,4,5,4,4,3,4,4,4,4,3,1,5,5,5,4,4,4,4,5,5,5,5,5
1,20,3,3,3,5,4,4,2,2,3,3,2,4,4,4,4,2,4,4,3,5,5,5,5,4,4,4,5,5
2,30,2,1,2,5,4,4,2,5,3,4,4,3,4,5,4,3,4,5,5,4,4,4,5,5,5,4,4,5
1,30,2,2,2,5,4,4,4,4,5,4,4,5,4,4,5,2,5,4,3,4,5,5,4,4,4,4,4,4
1,30,4,3,3,5,2,1,2,1,2,1,1,1,2,1,2,3,5,5,4,5,5,4,4,4,4,5,5,5
2,30,1,3,1,5,4,5,4,4,5,5,5,4,4,4,4,2,5,4,5,5,4,4,4,3,5,4,4,4
1,20,2,1,2,5,3,4,1,2,1,2,2,3,3,1,3,3,4,4,5,5,3,5,5,5,4,4,4,4
1,20,3,2,3,5,1,2,1,2,1,3,1,3,1,2,3,2,5,4,5,5,5,5,5,5,5,4,4,4
1,20,1,3,1,5,4,4,5,4,4,4,4,4,4,4,4,1,4,4,4,4,5,4,5,5,4,4,4,5
1,30,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,4,4,3,5,5,4,4,4,5,4,4,5
2,20,3,2,3,5,4,2,3,2,3,2,4,4,5,4,4,3,4,5,5,4,5,4,5,4,4,5,5,5
1,20,3,3,3,5,4,5,5,5,5,4,5,5,5,4,5,2,4,4,5,4,5,4,4,5,5,5,4,4
1,20,1,1,1,5,5,5,5,5,4,4,5,4,5,5,4,3,4,5,4,4,4,5,5,5,4,5,4,4
1,20,2,2,2,10,3,3,1,3,2,3,2,1,1,1,2,3,5,4,3,4,5,4,5,4,5,4,4,5
2,30,3,3,3,5,3,4,3,4,4,4,4,4,4,3,4,2,4,4,4,5,5,5,4,4,4,5,5,4
2,20,2,1,2,5,3,5,5,4,5,4,4,4,4,4,4,1,4,4,3,5,3,4,5,4,5,4,4,5
2,20,4,2,2,5,2,4,4,5,3,4,3,3,4,3,4,2,5,4,5,4,4,4,4,5,5,5,4,4
1,20,3,3,3,5,4,5,2,4,4,4,4,5,3,3,4,3,5,4,4,5,5,5,4,4,4,5,5,5
2,20,1,3,1,5,4,4,4,4,2,1,5,4,4,4,5,2,5,4,5,4,5,5,4,5,4,5,5,5
1,30,2,1,2,15,2,2,3,5,4,5,4,1,2,3,3,3,5,5,4,5,5,5,4,4,5,5,5,5
1,40,3,2,3,5,4,4,5,4,4,4,3,3,4,4,3,2,5,4,3,4,4,5,5,5,4,4,4,5
1,30,1,3,1,5,5,5,5,5,4,5,4,5,4,5,4,3,4,5,4,4,4,5,4,5,4,5,4,4
1,30,2,2,2,5,4,4,2,3,4,4,4,3,3,3,3,2,4,5,5,5,3,4,5,4,5,4,4,4
1,40,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,4,4,4,4,5,5
1,20,3,3,3,5,4,5,2,4,4,4,4,3,3,4,3,2,5,4,4,5,5,4,4,4,4,5,5,5
2,20,1,1,1,4,5,5,4,5,5,5,4,5,5,5,4,3,4,5,3,5,5,5,4,5,5,4,4,3
1,20,2,2,2,10,5,3,5,5,5,5,5,3,5,5,3,1,4,4,5,4,5,5,4,4,5,4,5,5
1,30,3,3,3,5,5,4,4,5,5,4,5,5,5,5,4,3,4,4,5,5,5,4,5,4,5,5,5,5
1,45,2,1,2,5,5,5,5,5,5,4,4,5,5,4,4,2,5,4,3,4,5,5,4,4,4,5,5,5
1,30,2,2,2,5,3,2,5,4,3,5,4,3,3,4,4,1,5,5,5,4,5,4,5,4,5,4,4,5
1,20,4,3,3,5,4,4,4,4,4,4,4,4,4,4,4,2,3,5,4,5,3,5,4,5,4,4,4,4
1,30,1,3,1,5,3,3,2,1,2,4,2,2,3,3,3,3,4,4,4,4,4,4,5,5,4,5,4,4
1,30,2,1,2,5,4,4,5,4,4,4,4,2,1,2,2,2,5,5,3,5,4,4,5,5,5,4,5,5
1,20,3,2,3,5,4,5,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,4,5,5,5,5
2,20,1,3,1,5,4,4,5,4,5,4,4,3,4,4,5,2,5,5,5,5,4,4,4,5,4,5,4,4
2,20,2,2,2,5,3,4,3,4,5,4,4,5,4,4,5,3,4,4,4,5,5,4,4,3,5,5,5,5
2,30,3,2,3,5,3,4,3,4,3,3,3,3,4,4,4,2,5,4,5,5,3,5,4,4,4,5,5,5
1,30,3,3,3,5,4,4,4,1,3,3,4,3,3,2,5,3,4,4,5,4,5,5,5,4,4,4,5,5
1,20,1,1,1,10,4,5,5,4,5,4,4,4,5,4,5,1,5,5,5,4,4,4,5,5,4,4,4,4
1,30,2,2,2,5,3,3,3,2,3,3,3,3,2,3,3,1,5,4,3,5,4,5,4,5,5,4,4,5
1,30,3,3,3,5,5,5,4,5,5,5,4,5,5,5,4,1,3,4,4,5,4,4,4,4,5,4,5,5
1,30,2,3,2,5,5,3,2,3,2,4,3,2,3,2,5,2,5,4,5,3,5,4,4,4,3,4,3,3
1,20,2,1,2,5,3,5,5,3,2,5,5,5,4,3,5,3,5,5,3,5,5,5,5,5,5,4,4,4
1,30,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,5,4,4,4,5,5,5,5
1,30,1,3,1,5,4,4,4,3,4,3,4,5,4,3,5,3,5,5,3,4,4,5,5,5,4,5,5,5
1,20,2,3,2,10,4,5,4,4,4,4,5,4,4,4,4,2,5,4,5,5,5,4,4,4,5,4,4,3
1,30,3,1,3,5,4,5,4,3,2,3,3,4,3,3,3,3,4,5,5,4,4,4,4,5,4,5,4,4
1,20,3,2,3,5,2,4,2,4,4,4,5,5,4,4,2,2,5,5,5,5,4,4,4,4,4,5,5,5
1,30,1,2,1,5,2,4,4,4,2,2,3,2,2,2,2,1,4,4,4,4,3,5,4,5,4,4,4,4
1,30,2,2,2,4,5,5,5,5,5,4,5,4,5,5,5,2,5,4,5,5,5,4,4,4,4,4,3,3
1,40,3,2,3,5,5,3,5,4,4,4,5,3,3,4,4,2,5,5,3,5,4,4,4,4,5,5,5,5
1,30,3,3,3,5,4,4,4,4,4,4,3,4,3,3,3,3,5,4,5,5,5,4,4,4,4,4,4,5
2,20,1,1,1,5,5,4,5,5,4,4,5,4,5,5,4,4,5,4,3,5,3,5,5,4,5,5,4,4
1,30,2,2,2,5,1,1,3,3,2,3,3,4,3,4,3,3,4,4,5,5,5,5,5,5,4,4,4,5
1,20,3,3,3,10,4,4,4,4,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4,5,5,4,4,4
1,40,2,2,2,5,4,5,4,5,4,3,3,4,4,3,4,1,5,3,5,5,4,4,4,4,5,3,3,4
1,20,2,1,2,5,5,5,5,5,5,5,4,4,5,5,5,3,4,4,4,4,3,5,4,4,5,4,5,5
2,20,3,2,3,5,4,3,3,4,2,2,3,2,3,4,3,1,4,4,5,5,5,5,4,4,5,4,4,5
2,20,1,3,1,5,4,3,5,4,4,4,3,4,4,3,4,2,5,4,5,4,4,3,3,4,5,4,4,4
2,30,2,3,2,5,3,2,2,2,2,2,2,2,2,2,3,1,5,5,5,4,3,4,3,5,4,4,5,4
1,45,3,1,3,5,4,4,5,3,2,2,3,5,5,2,4,2,4,4,4,4,5,3,5,4,4,2,2,4
1,20,4,2,1,5,4,4,2,3,4,4,4,2,4,3,4,1,5,4,5,5,4,4,4,4,5,5,5,5
1,20,1,3,1,10,4,4,3,4,4,4,4,3,4,4,4,2,4,5,3,5,3,4,4,5,4,5,4,4
1,40,2,2,2,5,3,3,4,5,5,4,4,3,3,4,4,2,4,4,4,4,4,5,5,4,4,4,4,4
2,20,3,2,3,5,4,4,4,4,4,4,4,5,4,5,4,3,4,5,4,5,5,4,4,4,5,4,5,4
1,20,2,2,2,10,5,4,5,5,4,4,5,4,4,5,5,2,5,5,5,5,5,5,5,5,5,4,4,4
1,30,4,1,1,5,2,4,4,4,2,3,2,2,2,2,2,2,4,1,4,4,4,3,3,5,4,5,4,5
1,20,2,2,2,10,4,5,4,4,5,5,4,4,4,5,5,2,5,4,3,5,5,4,4,4,5,5,5,5
1,40,3,3,3,15,5,5,4,5,5,5,5,5,4,5,4,3,4,4,5,4,5,5,4,4,4,4,4,5
2,40,3,1,3,5,4,3,5,4,4,3,3,4,4,5,4,4,5,5,4,5,4,4,3,4,5,2,4,4
1,20,1,2,1,5,3,5,1,1,5,3,4,5,5,3,3,2,4,4,3,5,4,5,5,5,5,4,4,4
2,30,2,3,2,5,4,4,5,4,4,4,4,1,1,3,3,3,5,4,3,5,5,5,4,4,5,4,4,4
2,30,3,3,3,5,4,3,1,2,2,2,4,4,3,5,4,3,5,4,4,3,4,5,2,1,3,5,3,3
2,30,2,1,2,15,5,5,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,5,3,5,2,1
1,40,2,2,2,5,4,4,4,4,5,4,4,5,4,4,5,4,3,4,3,4,4,4,5,3,3,5,4,1
1,30,3,3,3,5,5,4,5,5,4,4,4,5,4,5,4,3,3,4,5,5,5,4,5,1,4,2,5,3
2,20,1,2,1,5,5,4,4,5,5,4,5,5,5,4,5,2,3,3,2,4,5,3,5,4,3,4,5,1
2,20,2,2,2,5,5,4,4,5,5,4,3,4,4,5,4,3,4,3,4,4,4,3,4,3,3,2,5,5
2,30,3,3,3,10,5,5,5,4,4,5,5,4,5,5,4,3,3,3,4,5,5,2,4,5,3,2,4,4
1,40,1,1,1,5,4,4,2,3,4,4,4,4,4,3,3,4,2,2,4,4,4,4,5,3,3,2,4,3
2,30,2,2,2,10,4,4,4,5,4,4,4,4,3,3,4,1,3,3,5,4,4,5,4,4,3,2,4,4
2,40,3,3,3,10,4,4,4,4,4,5,5,4,4,4,4,4,2,4,5,4,5,5,4,3,3,2,4,5
2,40,3,1,3,5,4,5,4,5,4,4,5,4,4,4,4,4,3,4,4,5,4,5,4,3,3,5,4,1
1,30,1,2,1,15,5,4,4,4,5,5,4,5,4,4,4,2,3,4,4,5,4,5,5,4,3,2,4,4
1,30,2,2,2,10,5,4,5,5,4,4,5,5,4,4,4,1,5,4,3,4,5,5,5,4,3,5,4,4
2,40,3,3,3,5,4,3,3,5,5,4,4,4,4,4,4,1,4,4,3,4,4,2,4,3,4,2,5,4
2,30,2,1,2,10,4,5,4,5,4,4,5,3,3,3,4,1,4,4,3,4,4,5,4,4,4,2,4,3
2,30,2,2,2,10,5,4,5,4,5,5,4,4,3,4,5,3,3,3,5,4,4,5,4,3,3,5,4,1
2,40,3,3,3,5,4,4,4,4,4,4,4,4,3,4,5,2,3,5,4,5,4,5,4,3,5,2,4,1
2,30,1,2,1,4,3,3,3,4,5,5,5,4,3,3,3,4,2,2,3,4,5,5,5,5,4,2,4,4
2,45,2,2,2,10,4,4,4,5,4,4,5,4,4,4,5,2,4,4,3,5,4,4,4,5,4,5,5,3
2,30,3,2,3,5,4,4,4,4,4,4,5,4,4,5,4,3,3,4,4,5,5,4,4,4,4,4,4,3
1,30,1,1,1,5,5,4,3,5,4,4,5,4,3,3,5,2,3,3,4,4,4,2,4,3,5,4,4,1
1,30,2,2,2,5,5,3,4,4,4,3,5,4,4,4,4,1,4,4,4,4,4,5,4,3,2,2,4,3
1,30,3,2,3,10,4,5,4,5,4,4,4,4,4,4,4,2,4,4,3,4,3,5,3,3,4,5,4,3
2,40,3,3,3,10,5,4,5,5,4,5,4,5,4,4,4,2,4,4,3,5,4,5,4,5,4,5,3,3
